procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b  swpd   libre  búfer  caché   si   so    bi    bo   in   cs us sy id wa st
 2  0     0 2232404 122256 971620    0    0    25    12   94  202  3  1 96  1  0
 0  0     0 2232280 122368 971604    0    0     2   250  344 1517  6  2 77 16  0
 0  0     0 2232280 122504 971632    0    0     2   280  332 1125  7  1 74 18  0
 0  0     0 2232260 122640 971640    0    0     4   272  331 1207  7  2 74 18  0
 0  0     0 2232284 122776 971620    0    0     2   268  297 1081  6  1 75 18  0
 0  0     0 2232060 122936 971628    0    0     4   308  345 1258  7  1 72 20  0
 1  0     0 2231828 123136 971632    0    0     2   450  442 2002  7  1 66 26  0
 0  0     0 2231488 123376 971612    0    0     2   558  476 2309  8  1 60 31  0
 0  0     0 2231120 123536 971644    0    0     4   334  386 2164  6  2 73 19  0
 0  0     0 2230996 123696 971648    0    0     2   320  356 1430  8  1 73 19  0
 0  0     0 2231000 123928 971720    0    0     4   570  410 1526  7  2 61 31  0
 1  0     0 2230788 124160 971664    0    0     4   516  723 1967  9  3 60 28  0
 0  0     0 2230532 124320 971664    0    0     0   384  453 1183  7  1 72 21  0
 0  0     0 2230412 124560 971712    0    0     4   572  703 1539  7  2 58 34  0
 0  0     0 2230180 124776 971716    0    0     2   488  841 1505  6  1 67 27  0
 0  1     0 2229932 124952 971692    0    0     4   354  822 1619  7  2 70 22  0
 1  1     0 2229684 125176 971668    0    0     2   542  715 1777  7  1 62 30  0
 0  0     0 2229316 125408 971720    0    0     4   516  382 1502  6  1 64 29  0
 0  0     0 2229324 125568 971724    0    0     2   338  900 1896 10  4 66 20  0
 0  3     0 2228116 125708 972300    0    0   246   404  948 1846  8  4 65 23  0
